Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
On testing machine learning programs,"Braiek, H.B.; Khomh, F.",,2020,,Journal of Systems and Software,164,,,,10.1016/j.jss.2020.110542,,#412,Braiek 2020,Exclusion reason: Does not address research questions; ,Review
Machine Learning in Asset Management—Part 2: Portfolio Construction— Weight Optimization,"Snow, D.",,2020,,Journal of Financial Data Science,2,2,17-24,,10.3905/jfds.2020.1.029,,#414,Snow 2020,Exclusion reason: Full-text not available; ,Financial Application
Optimal attention allocation: picking alpha or betting on beta?,"Gu, Z.; Shi, Y.; Yan, T.; Zhou, Y.",,2024,,Quantitative Finance,,,,,10.1080/14697688.2024.2423702,,#417,Gu 2024,Exclusion reason: Does not address research questions; ,Financial Application
Real-time Pricing-based Resource Allocation in Open Market Environments,"Mishra, P.; Moustafa, A.; Ito, T.",,2023,,ACM Transactions on Internet Technology,23,1,,,10.1145/3465237,,#423,Mishra 2023,Exclusion reason: Does not address research questions; ,""
Deep treasury management for banks,"Englisch, H.; Krabichler, T.; Müller, K.J.; Schwarz, M.",,2023,,Frontiers in Artificial Intelligence,6,,,,10.3389/frai.2023.1120297,,#444,Englisch 2023,Exclusion reason: Does not address research questions; ,""
Wealth Flow Model: Online Portfolio Selection Based on Learning Wealth Flow Matrices,"Yin, J.; Wang, R.; Guo, Y.; Bai, Y.; Ju, S.; Liu, W.; Huang, J.Z.",,2022,,ACM Transactions on Knowledge Discovery from Data,16,2,,,10.1145/3464308,,#446,Yin 2022,Exclusion reason: Full-text not available; ,Financial Application
Dynamic pricing of differentiated products with incomplete information based on reinforcement learning,"Wang, C.; Cui, S.; Wu, R.; Wang, Z.",,2022,,IET Collaborative Intelligent Manufacturing,4,2,123-138,,10.1049/cim2.12050,,#455,Wang 2022,Exclusion reason: Does not address research questions; ,""
Interactive preference analysis: A reinforcement learning framework,"Hu, X.; Kang, S.; Ren, L.; Zhu, S.",,2024,,European Journal of Operational Research,319,3,983-998,,10.1016/j.ejor.2024.06.033,,#464,Hu 2024,Exclusion reason: Does not address research questions; ,Financial Application
Robo-Advising: Learning Investors' Risk Preferences via Portfolio Choices,"Alsabah, H.; Capponi, A.; Ruiz Lacedelli, O.; Stern, M.",,2021,,Journal of Financial Econometrics,19,2,369-392,,10.1093/jjfinec/nbz040,,#468,Alsabah 2021,Exclusion reason: Full-text not available; ,Financial Application
Synergistic Integration Between Machine Learning and Agent-Based Modeling: A Multidisciplinary Review,"Zhang, W.; Valencia, A.; Chang, N.-B.",,2023,,IEEE Transactions on Neural Networks and Learning Systems,34,5,2170-2190,,10.1109/TNNLS.2021.3106777,,#470,Zhang 2023,Exclusion reason: Does not address research questions; ,Review
Comparative Analysis of Predictive Algorithms for Performance Measurement,"Gupta, S.; Kishan, B.; Gulia, P.",,2024,,IEEE Access,12,,33949-33958,,10.1109/ACCESS.2024.3372082,,#474,Gupta 2024,Exclusion reason: Does not address research questions; ,""
A Robust Real Time Bidding Strategy Against Inaccurate CTR Predictions by Using Cluster Expected Win Rate,"Shih, W.-Y.; Lai, H.-C.; Huang, J.-L.",,2023,,IEEE Access,11,,126917-126926,,10.1109/ACCESS.2023.3332029,,#484,Shih 2023,Exclusion reason: Does not address research questions; ,Financial Application
A brief review of portfolio optimization techniques,"Gunjan, A.; Bhattacharyya, S.",,2023,,Artificial Intelligence Review,56,5,3847-3886,,10.1007/s10462-022-10273-7,,#498,Gunjan 2023,Exclusion reason: Does not address research questions; ,Financial Application; Review
A Static-Dynamic Hypergraph Neural Network Framework Based on Residual Learning for Stock Recommendation,"Hao, J.; Liu, Z.; Sun, Q.; Zhang, C.; Wang, J.",,2024,,Complexity,2024,,,,10.1155/2024/5791802,,#535,Hao 2024,Exclusion reason: Does not address research questions; ,Financial Application
Beating a Benchmark: Dynamic Programming May Not Be the Right Numerical Approach,"Van Staden, P.M.; Forsyth, P.A.; Li, Y.",,2023,,SIAM Journal on Financial Mathematics,14,2,407-451,,10.1137/22M1530070,,#539,VanStaden 2023,Exclusion reason: Does not address research questions; ,Financial Application
RLSTM: A New Framework of Stock Prediction by Using Random Noise for Overfitting Prevention,"Zheng, H.; Zhou, Z.; Chen, J.",,2021,,Computational Intelligence and Neuroscience,2021,,,,10.1155/2021/8865816,,#543,Zheng 2021,Exclusion reason: Does not address research questions; ,""
