episode,day,actions,allocation_weights,portfolio_return,reward,new_portfolio_value
1,630,"0.00, 0.31","0.42, 0.58",-0.16%,604824.95,"604,825"
1,631,"0.93, 0.00","0.72, 0.28",-0.08%,604362.91,"604,363"
1,632,"0.27, 0.00","0.57, 0.43",-0.12%,603654.81,"603,655"
1,633,"0.71, 1.00","0.43, 0.57",-0.16%,602716.80,"602,717"
1,634,"0.00, 1.00","0.27, 0.73",-0.20%,601516.19,"601,516"
1,635,"0.49, 1.00","0.38, 0.62",-0.17%,600490.68,"600,491"
1,636,"0.00, 0.20","0.45, 0.55",-0.15%,599585.22,"599,585"
1,637,"0.75, 0.67","0.52, 0.48",-0.13%,598794.15,"598,794"
1,638,"0.00, 1.00","0.27, 0.73",-0.20%,597588.22,"597,588"
1,639,"0.08, 1.00","0.29, 0.71",-0.20%,596409.00,"596,409"
1,640,"0.00, 0.45","0.39, 0.61",-0.17%,595398.41,"595,398"
1,641,"0.00, 1.00","0.27, 0.73",-0.20%,594189.33,"594,189"
1,642,"0.00, 1.00","0.27, 0.73",-0.20%,592979.33,"592,979"
1,643,"0.00, 0.39","0.40, 0.60",-0.17%,591992.25,"591,992"
1,644,"0.32, 1.00","0.34, 0.66",-0.19%,590891.96,"590,892"
1,645,"0.00, 1.00","0.27, 0.73",-0.21%,589678.54,"589,679"
1,646,"0.05, 0.00","0.51, 0.49",-0.14%,588869.10,"588,869"
1,647,"0.00, 0.00","0.50, 0.50",-0.14%,588037.36,"588,037"
1,648,"1.00, 0.00","0.73, 0.27",-0.08%,587589.35,"587,589"
1,649,"0.00, 0.00","0.50, 0.50",-0.14%,586754.71,"586,755"
1,650,"0.00, 0.00","0.50, 0.50",-0.14%,585918.87,"585,919"
1,651,"0.03, 0.12","0.48, 0.52",-0.15%,585044.65,"585,045"
1,652,"0.96, 0.91","0.51, 0.49",-0.14%,584225.24,"584,225"
1,653,"0.90, 0.00","0.71, 0.29",-0.08%,583740.06,"583,740"
1,654,"0.68, 0.42","0.57, 0.43",-0.12%,583011.64,"583,012"
1,655,"0.33, 0.00","0.58, 0.42",-0.12%,582308.53,"582,309"
1,656,"0.43, 1.00","0.36, 0.64",-0.18%,581231.39,"581,231"
1,657,"1.00, 0.09","0.71, 0.29",-0.08%,580744.90,"580,745"
1,658,"0.82, 1.00","0.46, 0.54",-0.16%,579822.74,"579,823"
1,659,"1.00, 0.00","0.73, 0.27",-0.08%,579366.78,"579,367"
1,660,"0.00, 0.00","0.50, 0.50",-0.15%,578517.27,"578,517"
1,661,"0.35, 1.00","0.34, 0.66",-0.19%,577397.80,"577,398"
1,662,"0.00, 0.00","0.50, 0.50",-0.15%,576546.18,"576,546"
1,663,"0.49, 0.00","0.62, 0.38",-0.11%,575898.10,"575,898"
1,664,"1.00, 0.00","0.73, 0.27",-0.08%,575438.50,"575,439"
1,665,"0.27, 1.00","0.32, 0.68",-0.20%,574281.94,"574,282"
1,666,"0.00, 0.38","0.41, 0.59",-0.18%,573265.49,"573,265"
1,667,"0.44, 1.00","0.36, 0.64",-0.19%,572171.18,"572,171"
1,668,"1.00, 0.00","0.73, 0.27",-0.08%,571709.08,"571,709"
1,669,"0.00, 0.00","0.50, 0.50",-0.15%,570848.07,"570,848"
1,670,"0.02, 0.55","0.37, 0.63",-0.19%,569763.67,"569,764"
1,671,"0.00, 0.44","0.39, 0.61",-0.18%,568711.61,"568,712"
1,672,"0.74, 1.00","0.44, 0.56",-0.17%,567736.83,"567,737"
1,673,"0.00, 0.80","0.31, 0.69",-0.21%,566541.67,"566,542"
1,674,"0.29, 0.35","0.49, 0.51",-0.16%,565650.26,"565,650"
1,675,"1.00, 0.00","0.73, 0.27",-0.08%,565183.61,"565,184"
1,676,"0.00, 0.00","0.50, 0.50",-0.15%,564314.10,"564,314"
1,677,"0.00, 0.00","0.50, 0.50",-0.15%,563443.24,"563,443"
1,678,"0.00, 1.00","0.27, 0.73",-0.23%,562167.98,"562,168"
1,679,"0.00, 0.70","0.33, 0.67",-0.21%,561002.10,"561,002"
1,680,"0.77, 0.00","0.68, 0.32",-0.10%,560448.38,"560,448"
