"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZSCKEYDG","journalArticle","2024","Cai, W.; Zhu, X.; Bai, K.; Ye, A.; Zhang, R.","An explainable dual-mode convolutional neural network for multivariate time series classification","Knowl Based Syst","","","10.1016/j.knosys.2024.112015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195041989&doi=10.1016%2fj.knosys.2024.112015&partnerID=40&md5=65cbbc9bfee5016bea99d9ef4a4e4ec8","Multivariate time series classification (MTSC) is a crucial machine learning problem prevalent across various real-life domains. Traditional deep learning approaches with high accuracy in MTSC are often criticized for their “black box” nature, offering no insight into their operational mechanisms or decision-making processes. Explainable artificial intelligence (XAI) becomes a key idea for dealing with such limitations in decision-sensitive areas. While some researchers have explored the interpretability of MTSC, the majority have focused on elucidating the relationship between variables over time, neglecting the intricate connections among different variables. To address the interpretability issue in MTSC, we introduce an explainable dual-mode convolutional neural network (XDM-CNN) designed specifically for MTSC. The proposed XDM-CNN framework comprises two modules: a classification module and an explanation module. The classification module can ensure exceptional classification performance by combining both one-dimensional and two-dimensional convolutional neural networks, while the explanation module can mine the underlying logical relationships among variables during the classification process by utilizing a synergy of visualization and quantification techniques. We validate our approach using 26 datasets sourced from the University of East Anglia (UEA) archive. The experimental results demonstrate that XDM-CNN not only exhibits excellent performance in classification accuracy, but also has strong explainability. By combining visual and numerical explanation, the hidden logical relationships among multivariate time series are explored and interpreted, providing human users with a decidable basis for classification decisions. © 2024","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","299","","Knowl Based Syst","","","","","","","","","","","","","","","Publisher: Elsevier B.V.","","/Users/jensreil/Zotero/storage/9DKYNTWH/Cai et al. - 2024 - An explainable dual-mode convolutional neural network for multivariate time series classification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KINXHMPF","journalArticle","2024","Jafari, S.; Kim, J.; Byun, Y.-C.","A novel fusion-based deep learning approach with PSO and explainable AI for batteries State of Charge estimation in Electric Vehicles","Energy Rep.","","","10.1016/j.egyr.2024.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204234650&doi=10.1016%2fj.egyr.2024.09.010&partnerID=40&md5=51bf0d02a044c4e8f549b713da29ec83","One of the main purposes of the Battery Management System (BMS) is to estimate the State of Charge (SoC) of Lithium-ion batteries (LIBs). In this study, we propose a novel fusion model combining Convolutional Neural Networks (CNNs), Long Short-term Memory networks (LSTMs), and Convolutional LSTM (ConvLSTM) architectures to efficiently capture spatio-temporal patterns in battery data efficiently, hence improving the estimate accuracy of SoC. Particle Swarm Optimization (PSO) is employed to optimize hyperparameters and enhance the model's accuracy. The fusion model outperforms the separate CNN, LSTM, and ConvLSTM models regarding performance metrics. Specifically, the fusion model with PSO achieved a Mean Absolute Error (MAE) of 0.01, Root Mean Square Error (RMSE) of 0.094, and a R2 score of 99% according to experimental assessments. The results confirm the model's effectiveness in estimating SoC, indicating its potential to enhance the dependability and efficiency of BMS. Furthermore, Explainable Artificial Intelligence (XAI) was employed to elucidate the battery SoC model's decision-making process and identify the key elements contributing to the estimate process. © 2024","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","3364-3385","","","12","","Energy Rep.","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/WCLGBEAG/Jafari et al. - 2024 - A novel fusion-based deep learning approach with PSO and explainable AI for batteries State of Charg.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FGUCNQW","journalArticle","2024","Zeng, W.; Shan, L.; Yuan, C.; Du, S.","Advancing cardiac diagnostics: Exceptional accuracy in abnormal ECG signal classification with cascading deep learning and explainability analysis","Appl. Soft Comput.","","","10.1016/j.asoc.2024.112056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201518785&doi=10.1016%2fj.asoc.2024.112056&partnerID=40&md5=41c816ebcfe741c9d57153bcc37d1493","Arrhythmias, cardiac rhythm disorders, demand precise diagnosis for effective treatment planning, emphasizing the crucial role of electrocardiogram (ECG) signal interpretation. While deep learning excels in ECG classification, its interpretability remains a challenge. Addressing this issue, our research introduces an innovative approach employing image-based ECG representations and cascading deep neural networks (CDNNs) to enhance arrhythmia detection precision. Initiating with the transformation of 12-lead ECG time-series data, particularly focusing on Lead II, into image-based representations using relative positioning matrices (RPM), this novel conversion captures spatial and temporal information concurrently, enriching the depth of our data analysis. Subsequently, CDNNs play a pivotal role in feature extraction, designed to automatically extract impactful features from image-based ECG representations, providing profound insights into cardiac electrical activity. Extracted features serve as inputs for the subsequent deep neural network for classification. Experimental results on the Shaoxing–Chapman ECG database, encompassing over 10,000 recordings with an 80/10/10 split, 80/20 split, 60/40 split, and 10-fold cross-validation, showcase a remarkable 100% accuracy in distinguishing between seven and four different arrhythmia classes. Incorporating SHapley Additive exPlanations (SHAP) values, our methodology offers comprehensive insights into the model's decision-making, ensuring interpretability. Additionally, Gradient-weighted Class Activation Mapping (Grad-CAM) aids feature visualization, elucidating key features driving predictions. By amalgamating image-based representation, CDNNs, and interpretability techniques, our research not only attains exceptional classification performance but also boosts model transparency and trustworthiness. These findings hold promise for advancing arrhythmia diagnosis and enhancing interpretability in deep learning-based medical applications. © 2024 Elsevier B.V.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","165","","Appl. Soft Comput.","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/W45A8P65/Zeng et al. - 2024 - Advancing cardiac diagnostics Exceptional accuracy in abnormal ECG signal classification with casca.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMVDB62L","journalArticle","2024","Cuéllar, S.; Santos, M.; Alonso, F.; Fabregas, E.; Farias, G.","Explainable anomaly detection in spacecraft telemetry","Eng Appl Artif Intell","","","10.1016/j.engappai.2024.108083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185256436&doi=10.1016%2fj.engappai.2024.108083&partnerID=40&md5=cac304fd4b7976b3430f5342dc74ad8c","As spacecraft missions become more complex and ambitious, it becomes increasingly important to track the status and health of the spacecraft in real-time to ensure mission success. Anomaly detection is a crucial part of spacecraft telemetry analysis, allowing engineers to quickly identify unexpected or abnormal behaviour reflected on spacecraft data and take appropriate corrective action. Traditional statistical methods based on threshold setting are often inadequate for detecting anomalies in this context, requiring the development of more sophisticated techniques that can handle the high-dimensional, non-linear, and non-stationary nature of spacecraft telemetry data such as machine learning-based techniques. This article presents an approach for anomaly detection using machine-learning techniques for spacecraft telemetry. The identification of anomaly types present on two real telemetry datasets from NASA is performed to incorporate information of magnitude, frequency, and waveform from known anomalies into the feature extraction process. Then, a machine-learning-based model is trained with the obtained features and tested with unknown real data. The proposed method achieves 95.3% of precision and 100% of Recall, giving a F0.5 score of 96.2% in both datasets, outperforming the metrics obtained on the existing related works, demonstrating that the inclusion of known anomalies can improve the performance of the data-driven models. Finally, an explainability analysis is performed to understand why a particular data instance has been identified as anomalous, proving the effectiveness of the feature extraction process. © 2024 The Authors","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","133","","Eng Appl Artif Intell","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/UT2G8S2I/Cuéllar et al. - 2024 - Explainable anomaly detection in spacecraft telemetry.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ZCWIMUT","journalArticle","2024","Damasevicius, R.; Jovanovic, L.; Petrovic, A.; Zivkovic, M.; Bacanin, N.; Jovanovic, D.; Antonijevic, M.","Decomposition aided attention-based recurrent neural networks for multistep ahead time-series forecasting of renewable power generation","PeerJ Comput. Sci.","","","10.7717/peerj-cs.1795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185831815&doi=10.7717%2fpeerj-cs.1795&partnerID=40&md5=86cf30bd8d3610cb5575a2c5caf5f781","Renewable energy plays an increasingly important role in our future. As fossil fuels become more difficult to extract and effectively process, renewables offer a solution to the ever-increasing energy demands of the world. However, the shift toward renewable energy is not without challenges. While fossil fuels offer a more reliable means of energy storage that can be converted into usable energy, renewables are more dependent on external factors used for generation. Efficient storage of renewables is more difficult often relying on batteries that have a limited number of charge cycles. A robust and efficient system for forecasting power generation from renewable sources can help alleviate some of the difficulties associated with the transition toward renewable energy. Therefore, this study proposes an attention-based recurrent neural network approach for forecasting power generated from renewable sources. To help networks make more accurate forecasts, decomposition techniques utilized applied the time series, and a modified metaheuristic is introduced to optimized hyperparameter values of the utilized networks. This approach has been tested on two real-world renewable energy datasets covering both solar and wind farms. The models generated by the introduced metaheuristics were compared with those produced by other state-of-the-art optimizers in terms of standard regression metrics and statistical analysis. Finally, the best-performing model was interpreted using SHapley Additive exPlanations. © 2024 Damasevicius et al. All Rights Reserved.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","10","","PeerJ Comput. Sci.","","","","","","","","","","","","","","","Publisher: PeerJ Inc.","","/Users/jensreil/Zotero/storage/KX9W3IT5/Damasevicius et al. - 2024 - Decomposition aided attention-based recurrent neural networks for multistep ahead time-series foreca.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2ACTLA6","journalArticle","2024","Liu, Z.; Yao, N.; Fan, Q.; Zhu, X.; Xue, H.","Research on the abnormal identification method of remote real-time monitoring of power system equipment based on artificial intelligence","Aust. J. Electr. Electron. Eng.","","","10.1080/1448837X.2024.2442873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212705699&doi=10.1080%2f1448837X.2024.2442873&partnerID=40&md5=6a8595b4200e3d1f695eb812e38cdf25","This study addresses the critical challenge of anomaly detection in modern power systems, proposing a novel hybrid approach that combines supervised and unsupervised machine learning techniques. The increasing complexity of power grids and integrating renewable energy sources and smart technologies necessitate more sophisticated methods for identifying and mitigating potential threats to system stability and security. Our model leverages deep learning architectures, including Long Short-Term Memory networks and Convolutional Neural Networks, to process high-dimensional time-series data from various grid sensors. The system demonstrates exceptional performance in detecting diverse anomalies, including cyber-attacks, equipment failures, and environmental disturbances, with an overall accuracy of 97.8% and an F1-score of 0.956. Real-time processing capabilities enable anomaly detection within 1.2 seconds, crucial for preventing cascading failures. A novel interpretability framework provides insights into the model’s decision-making process, enhancing trust and actionable intelligence for operators. Extensive case studies and robustness analyses validate the system’s effectiveness across various operational scenarios. This research significantly enhances power grid resilience and reliability, offering a robust foundation for future advancements in smart grid technologies and adaptive anomaly detection systems. © 2024 Engineers Australia.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","","","Aust. J. Electr. Electron. Eng.","","","","","","","","","","","","","","","Publisher: Taylor and Francis Ltd.","","/Users/jensreil/Zotero/storage/WX3FWIDI/Liu et al. - 2024 - Research on the abnormal identification method of remote real-time monitoring of power system equipm.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FP58GWZK","journalArticle","2024","Tronchin, L.; Cordelli, E.; Celsi, L.R.; MacCagnola, D.; Natale, M.; Soda, P.; Sicilia, R.","Translating Image XAI to Multivariate Time Series","IEEE Access","","","10.1109/ACCESS.2024.3366994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186106512&doi=10.1109%2fACCESS.2024.3366994&partnerID=40&md5=bc4032e617ff694861ec41040d614adf","As Artificial Intelligence (AI) is becoming part of our daily lives, the need to understand and trust its decisions is becoming a pressing issue. EXplainable AI (XAI) aims at answering this demand, providing tools to get insights into the models' behaviour and reasoning. Following this trend, our research paper explores the explainability of a deployed multimodal architecture applied to a real-world dataset of multivariate time series. The study aims to enhance the trustworthiness of an AI agent responsible for crash detection in an insurance company's automatic assistance service. By introducing an XAI layer, we provide insights into the AI agent's decision-making process, enabling the optimization of emergency medical services allocation. The dataset consists of real-world telematics data collected from vehicles equipped with black box technology. The challenge lies in explaining the complex interactions within the multivariate time series data to accurately understand the forces applied to vehicles during accidents. To this end, we adapt to this context two state-of-the-art XAI model-specific approaches, originally designed for images. We offer a qualitative and a quantitative evaluation, also comparing with a well-known agnostic method, and further validating our findings on an external dataset. The results show that Integrated Gradients, among the methodologies examined, is the most effective approach. Its ability to handle the complexity of the data provides the most comprehensive and insightful explanations for the considered use case. The findings emphasize the potential of XAI to enhance the trustworthiness of AI systems and optimize emergency response in the insurance industry. Code is available at https://github.com/ltronchin/translating-xai-mts.git.  © 2013 IEEE.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","27484-27500","","","12","","IEEE Access","","","","","","","","","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","/Users/jensreil/Zotero/storage/Q6VVVEIA/Tronchin et al. - 2024 - Translating Image XAI to Multivariate Time Series.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHCPFPBG","journalArticle","2024","Saleh, H.; ElRashidy, N.; Abd Elaziz, M.; O. Aseeri, A.; El-Sappagh, S.","Genetic algorithm-based hybrid deep learning model for explainable Alzheimer’s disease prediction using temporal multimodal cognitive data","Int. J. Data Sci. Anal.","","","10.1007/s41060-024-00514-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187153159&doi=10.1007%2fs41060-024-00514-z&partnerID=40&md5=4462f85eaaa079e52b94e10f0e5ffd03","Alzheimer’s disease (AD) is an irreversible neurodegenerative disease characterized by progressive neuronal deterioration. Early detection of AD is critical for mitigating disease progression and improving patient life. While deep learning (DL) techniques have shown promise in analyzing neuroimaging data for AD diagnosis, their interpretability has been a significant impediment toward explainable medical diagnosis. The typical practices of diagnosing AD, which involve clinical biomarkers and neuroimaging tests, have been limited in producing trustworthy and explainable progression detection models at an early stage. Another method based on finding the patient’s cognitive score through analyzing time series data has been adopted as an acceptable and cost-effective alternative in providing a deeper insight into patients’ conditions. In this study, we propose a hybrid CNN-LSTM-based model for predicting AD progression based on the fusion of four longitudinal cognitive sub-scores modalities. Our hybrid model employs the Bayesian optimizer as a computational technique to help optimize the selection of the adequate DL model’s architecture. A genetic algorithm-based feature selection has been incorporated as an optimization step to determine the best feature set from the extracted deep representations of the CNN-LSTM, and we replaced the traditional SoftMax classifier with a robust and optimized random forest classifier. An extensive set of experiments utilizing the ADNI dataset examined the operational role of each optimization step while demonstrating the effectiveness of the proposed hybrid model. The model achieved the best results compared to other DL and classical machine learning methods. To ensure diagnostic interpretability, we used the SHAP and LIME techniques to provide explainability features for the proposed model’s decisions. This work attempts to present the best possible, trustworthy decision-making AD diagnostics, potentially in deployable real-world settings. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","","","Int. J. Data Sci. Anal.","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","","/Users/jensreil/Zotero/storage/RYD7KQNK/Saleh et al. - 2024 - Genetic algorithm-based hybrid deep learning model for explainable Alzheimer’s disease prediction us.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZHS8IU9","journalArticle","2024","Ott, G.; Schaubelt, Y.; Lopez Alcaraz, J.M.; Haverkamp, W.; Strodthoff, N.","Using explainable AI to investigate electrocardiogram changes during healthy aging-From expert features to raw signals","PLoS ONE","","","10.1371/journal.pone.0302024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190336905&doi=10.1371%2fjournal.pone.0302024&partnerID=40&md5=fc7a9a1c1adea1b092d7481aae92589d","Cardiovascular diseases remain the leading global cause of mortality. Age is an important covariate whose effect is most easily investigated in a healthy cohort to properly distinguish the former from disease-related changes. Traditionally, most of such insights have been drawn from the analysis of electrocardiogram (ECG) feature changes in individuals as they age. However, these features, while informative, may potentially obscure underlying data relationships. In this paper we present the following contributions: (1) We employ a deeplearning model and a tree-based model to analyze ECG data from a robust dataset of healthy individuals across varying ages in both raw signals and ECG feature format. (2) We use explainable AI methods to identify the most discriminative ECG features across age groups.(3) Our analysis with tree-based classifiers reveals age-related declines in inferred breathing rates and identifies notably high SDANN values as indicative of elderly individuals, distinguishing them from younger adults. (4) Furthermore, the deep-learning model underscores the pivotal role of the P-wave in age predictions across all age groups, suggesting potential changes in the distribution of different P-wave types with age. These findings shed new light on age-related ECG changes, offering insights that transcend traditional featurebased approaches.  © 2024 Ott et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","4 April","19","","PLoS ONE","","","","","","","","","","","","","","","Publisher: Public Library of Science","","/Users/jensreil/Zotero/storage/B22TEALB/Ott et al. - 2024 - Using explainable AI to investigate electrocardiogram changes during healthy aging-From expert featu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2KTUJG2","journalArticle","2024","Saifullah, S.; Mercier, D.; Lucieri, A.; Dengel, A.; Ahmed, S.","The privacy-explainability trade-off: unraveling the impacts of differential privacy and federated learning on attribution methods","Frontier. Artif. Intell.","","","10.3389/frai.2024.1236947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198749038&doi=10.3389%2ffrai.2024.1236947&partnerID=40&md5=f1949fceeaf4522230cd909408ea5a13","Since the advent of deep learning (DL), the field has witnessed a continuous stream of innovations. However, the translation of these advancements into practical applications has not kept pace, particularly in safety-critical domains where artificial intelligence (AI) must meet stringent regulatory and ethical standards. This is underscored by the ongoing research in eXplainable AI (XAI) and privacy-preserving machine learning (PPML), which seek to address some limitations associated with these opaque and data-intensive models. Despite brisk research activity in both fields, little attention has been paid to their interaction. This work is the first to thoroughly investigate the effects of privacy-preserving techniques on explanations generated by common XAI methods for DL models. A detailed experimental analysis is conducted to quantify the impact of private training on the explanations provided by DL models, applied to six image datasets and five time series datasets across various domains. The analysis comprises three privacy techniques, nine XAI methods, and seven model architectures. The findings suggest non-negligible changes in explanations through the implementation of privacy measures. Apart from reporting individual effects of PPML on XAI, the paper gives clear recommendations for the choice of techniques in real applications. By unveiling the interdependencies of these pivotal technologies, this research marks an initial step toward resolving the challenges that hinder the deployment of AI in safety-critical settings. Copyright © 2024 Saifullah, Mercier, Lucieri, Dengel and Ahmed.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","7","","Frontier. Artif. Intell.","","","","","","","","","","","","","","","Publisher: Frontiers Media SA","","/Users/jensreil/Zotero/storage/LKY3HW3B/Saifullah et al. - 2024 - The privacy-explainability trade-off unraveling the impacts of differential privacy and federated l.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GN6YWEDS","preprint","2020","Kumar, I. Elizabeth; Venkatasubramanian, Suresh; Scheidegger, Carlos; Friedler, Sorelle","Problems with Shapley-value-based explanations as feature importance measures","","","","10.48550/arXiv.2002.11097","http://arxiv.org/abs/2002.11097","Game-theoretic formulations of feature importance have become popular as a way to ""explain"" machine learning models. These methods define a cooperative game between the features of a model and distribute influence among these input elements using some form of the game's unique Shapley values. Justification for these methods rests on two pillars: their desirable mathematical properties, and their applicability to specific motivations for explanations. We show that mathematical problems arise when Shapley values are used for feature importance and that the solutions to mitigate these necessarily induce further complexity, such as the need for causal reasoning. We also draw on additional literature to argue that Shapley values do not provide explanations which suit human-centric goals of explainability.","2020-06-30","2025-03-03 14:19:50","2025-03-03 14:19:51","2025-03-03 14:19:42","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2002.11097 [cs]","","/Users/jensreil/Zotero/storage/TWAQNH49/Kumar et al. - 2020 - Problems with Shapley-value-based explanations as .pdf; /Users/jensreil/Zotero/storage/ZIIM3SZH/2002.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2002.11097","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNMCPTVN","preprint","2020","Dieber, Jürgen; Kirrane, Sabrina","Why model why? Assessing the strengths and limitations of LIME","","","","10.48550/arXiv.2012.00093","http://arxiv.org/abs/2012.00093","When it comes to complex machine learning models, commonly referred to as black boxes, understanding the underlying decision making process is crucial for domains such as healthcare and financial services, and also when it is used in connection with safety critical systems such as autonomous vehicles. As such interest in explainable artificial intelligence (xAI) tools and techniques has increased in recent years. However, the effectiveness of existing xAI frameworks, especially concerning algorithms that work with data as opposed to images, is still an open research question. In order to address this gap, in this paper we examine the effectiveness of the Local Interpretable Model-Agnostic Explanations (LIME) xAI framework, one of the most popular model agnostic frameworks found in the literature, with a specific focus on its performance in terms of making tabular models more interpretable. In particular, we apply several state of the art machine learning algorithms on a tabular dataset, and demonstrate how LIME can be used to supplement conventional performance assessment methods. In addition, we evaluate the understandability of the output produced by LIME both via a usability study, involving participants who are not familiar with LIME, and its overall usability via an assessment framework, which is derived from the International Organisation for Standardisation 9241-11:1998 standard.","2020-11-30","2025-03-04 16:24:03","2025-03-04 16:24:03","2025-03-04 16:24:03","","","","","","","Why model why?","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2012.00093 [cs]","","/Users/jensreil/Zotero/storage/WEKU6AHF/Dieber and Kirrane - 2020 - Why model why Assessing the strengths and limitat.pdf; /Users/jensreil/Zotero/storage/UKQU5QAI/2012.html","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2012.00093","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSHMU2RC","webpage","2025","Salih, Ahmed","A Perspective on Explainable Artificial Intelligence Methods: SHAP and LIME","","","","","https://arxiv.org/html/2305.02012v3","eXplainable artificial intelligence (XAI) methods have emerged to convert the black box of machine learning (ML) models into a more digestible form. These methods help to communicate how the model works with the aim of making ML models more transparent and increasing the trust of end-users into their output. SHapley Additive exPlanations (SHAP) and Local Interpretable Model Agnostic Explanation (LIME) are two widely used XAI methods, particularly with tabular data. In this perspective piece, we discuss the way the explainability metrics of these two methods are generated and propose a framework for interpretation of their outputs, highlighting their weaknesses and strengths. Specifically, we discuss their outcomes in terms of model-dependency and in the presence of collinearity among the features, relying on a case study from the biomedical domain (classification of individuals with or without myocardial infarction). The results indicate that SHAP and LIME are highly affected by the adopted ML model and feature collinearity, raising a note of caution on their usage and interpretation.","2025","2025-03-04 16:22:53","2026-01-06 10:02:03","2025-03-04 16:22:53","","","","","","","","","","","","","","","","","","","","","","","/Users/jensreil/Zotero/storage/696JSMQG/A Perspective on Explainable Artificial Intelligence Methods SHAP and LIME.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6APPMJVC","preprint","2023","Huang, Xuanxiang; Marques-Silva, Joao","The Inadequacy of Shapley Values for Explainability","","","","10.48550/arXiv.2302.08160","http://arxiv.org/abs/2302.08160","This paper develops a rigorous argument for why the use of Shapley values in explainable AI (XAI) will necessarily yield provably misleading information about the relative importance of features for predictions. Concretely, this paper demonstrates that there exist classifiers, and associated predictions, for which the relative importance of features determined by the Shapley values will incorrectly assign more importance to features that are provably irrelevant for the prediction, and less importance to features that are provably relevant for the prediction. The paper also argues that, given recent complexity results, the existence of efficient algorithms for the computation of rigorous feature attribution values in the case of some restricted classes of classifiers should be deemed unlikely at best.","2023-02-16","2025-03-04 16:22:38","2025-03-04 16:22:38","2025-03-04 16:22:38","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2302.08160 [cs]","","/Users/jensreil/Zotero/storage/FVT7GG9C/Huang and Marques-Silva - 2023 - The Inadequacy of Shapley Values for Explainabilit.pdf; /Users/jensreil/Zotero/storage/J5DH5WG4/2302.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2302.08160","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5ERLWD5","journalArticle","2024","Huang, Xuanxiang; Marques-Silva, Joao","On the failings of Shapley values for explainability","International Journal of Approximate Reasoning","","0888-613X","10.1016/j.ijar.2023.109112","https://www.sciencedirect.com/science/article/pii/S0888613X23002438","Explainable Artificial Intelligence (XAI) is widely considered to be critical for building trust into the deployment of systems that integrate the use of machine learning (ML) models. For more than two decades Shapley values have been used as the theoretical underpinning for some methods of XAI, being commonly referred to as SHAP scores. Some of these methods of XAI now rank among the most widely used, including in high-risk domains. This paper proves that the existing definitions of SHAP scores will necessarily yield misleading information about the relative importance of features for predictions. The paper identifies a number of ways in which misleading information can be conveyed to human decision makers, and proves that there exist classifiers which will yield such misleading information. Furthermore, the paper offers empirical evidence that such theoretical limitations of SHAP scores are routinely observed in ML classifiers.","2024-08-01","2025-03-04 16:22:21","2025-03-04 16:22:21","2025-03-04 16:22:21","109112","","","171","","International Journal of Approximate Reasoning","","Synergies between Machine Learning and Reasoning","","","","","","","","","","","ScienceDirect","","","","/Users/jensreil/Zotero/storage/6MQ9UAGF/Huang and Marques-Silva - 2024 - On the failings of Shapley values for explainability.pdf; /Users/jensreil/Zotero/storage/QG672CXK/S0888613X23002438.html","","","Abductive explanations; Explainable AI (XAI); SHAP scores; Shapley values","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
