agent,generator,run_id,step,cumulative_reward
Always Up Agent,Ornstein-Uhlenbeck Generator,002,30,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,31,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,32,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,33,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,34,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,35,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,36,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,37,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,38,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,39,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,40,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,41,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,42,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,43,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,44,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,45,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,46,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,47,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,48,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,49,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,50,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,51,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,52,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,53,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,54,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,55,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,56,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,57,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,58,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,59,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,60,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,61,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,62,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,63,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,64,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,65,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,66,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,67,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,68,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,69,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,70,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,71,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,72,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,73,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,74,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,75,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,76,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,77,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,78,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,79,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,80,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,81,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,82,-18.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,83,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,84,-18.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,85,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,86,-18.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,87,-19.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,88,-18.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,89,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,90,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,91,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,92,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,93,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,94,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,95,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,96,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,97,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,98,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,99,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,100,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,1,1.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,2,0.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,3,-1.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,4,-2.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,5,-3.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,6,-4.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,7,-5.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,8,-6.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,9,-7.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,10,-8.0
